source,model,protocol,pass,kind,domain,n,raw_agr,k_unw,k_lin,k_quad,ci_lin_lo,ci_lin_hi
gpt_oss_20b_abstract_pass3,gpt_oss_20b,abstract,3,single_pass,d5,78,0.358974358974359,0.06024096385542173,0.06474820143884909,0.07363420427553426,0.017158176943699695,0.13075780089153047
gpt_oss_20b_abstract_pass3,gpt_oss_20b,abstract,3,single_pass,overall,78,0.46153846153846156,0.10565110565110565,0.045871559633027414,-0.05263157894736823,-0.04697986577181226,0.15939849624060162
gpt_oss_20b_fulltext_pass1,gpt_oss_20b,fulltext,1,single_pass,d1,78,0.3717948717948718,0.10155148095909736,0.11481975967957303,0.13751507840772,0.03621644652748202,0.2175102599179207
gpt_oss_20b_fulltext_pass1,gpt_oss_20b,fulltext,1,single_pass,d2,78,0.38461538461538464,0.09390125847047438,0.15012106537530262,0.22047244094488158,0.0337837837837837,0.25515660809778473
gpt_oss_20b_fulltext_pass1,gpt_oss_20b,fulltext,1,single_pass,d3,78,0.5641025641025641,0.1634069400630915,0.19954389965792488,0.25430210325047786,0.05088495575221252,0.36695652173913024
gpt_oss_20b_fulltext_pass1,gpt_oss_20b,fulltext,1,single_pass,d4,78,0.5128205128205128,0.18883415435139567,0.2677693339293696,0.3621197252208047,0.11290322580645176,0.39814814814814814
gpt_oss_20b_fulltext_pass1,gpt_oss_20b,fulltext,1,single_pass,d5,78,0.3974358974358974,0.09637663298003446,0.11534749034749003,0.150995831403427,0.04233700254022017,0.20163766632548627
gpt_oss_20b_fulltext_pass1,gpt_oss_20b,fulltext,1,single_pass,overall,78,0.48717948717948717,0.2121212121212121,0.26042983565107475,0.3209876543209874,0.12162162162162173,0.4022988505747128
gpt_oss_20b_fulltext_pass2,gpt_oss_20b,fulltext,2,single_pass,d1,78,0.3974358974358974,0.1277658815132048,0.12978142076502724,0.13333333333333322,0.04071246819338415,0.23489932885906029
gpt_oss_20b_fulltext_pass2,gpt_oss_20b,fulltext,2,single_pass,d2,78,0.3974358974358974,0.12735063080218995,0.13367108339828512,0.141263940520446,0.04173166926677067,0.2441860465116281
gpt_oss_20b_fulltext_pass2,gpt_oss_20b,fulltext,2,single_pass,d3,78,0.5769230769230769,0.1707474226804123,0.20136518771331083,0.24516129032258102,0.021810250817884638,0.39390316796174546
gpt_oss_20b_fulltext_pass2,gpt_oss_20b,fulltext,2,single_pass,d4,78,0.4358974358974359,0.12471308339709253,0.19733656174334147,0.2783945345858238,0.0877192982456142,0.30834340991535675
gpt_oss_20b_fulltext_pass2,gpt_oss_20b,fulltext,2,single_pass,d5,78,0.44871794871794873,0.14980988593155892,0.1714426877470355,0.2115655853314529,0.04738641914997575,0.2938718662952647
gpt_oss_20b_fulltext_pass2,gpt_oss_20b,fulltext,2,single_pass,overall,78,0.4358974358974359,0.14242878560719643,0.1845018450184503,0.23529411764705876,0.050950570342205244,0.3217391304347825
gpt_oss_20b_fulltext_pass3,gpt_oss_20b,fulltext,3,single_pass,d1,78,0.38461538461538464,0.14403292181069963,0.149685534591195,0.15857605177993525,0.0442687747035571,0.2872539831302717
gpt_oss_20b_fulltext_pass3,gpt_oss_20b,fulltext,3,single_pass,d2,78,0.38461538461538464,0.0823529411764706,0.0997526793075022,0.12195121951219513,-0.017552182163187893,0.21356553620531618
gpt_oss_20b_fulltext_pass3,gpt_oss_20b,fulltext,3,single_pass,d3,78,0.5384615384615384,0.18038528896672504,0.2238805970149255,0.28110599078341003,0.09589041095890412,0.3859827323514475
gpt_oss_20b_fulltext_pass3,gpt_oss_20b,fulltext,3,single_pass,d4,78,0.5,0.20010518012095713,0.23136246786632395,0.26852141294154414,0.08542713567839211,0.3743315508021391
gpt_oss_20b_fulltext_pass3,gpt_oss_20b,fulltext,3,single_pass,d5,78,0.4358974358974359,0.14028056112224446,0.15258329309512333,0.17469608284556512,0.04454342984409802,0.2721617418351479
gpt_oss_20b_fulltext_pass3,gpt_oss_20b,fulltext,3,single_pass,overall,78,0.4230769230769231,0.1322620519159456,0.15353697749196146,0.17870722433460093,0.03074978938500432,0.28870106761565856
gemma4_26b_abstract_pass1,gemma4_26b,abstract,1,single_pass,d1,78,0.2692307692307692,0.0,0.0,0.0,-2.8392588826479415e-16,3.092764140027221e-16
gemma4_26b_abstract_pass1,gemma4_26b,abstract,1,single_pass,d2,78,0.41025641025641024,0.11385527290689054,0.09011893870082362,0.05181347150259102,-0.015068493150685165,0.1901245962159669
gemma4_26b_abstract_pass1,gemma4_26b,abstract,1,single_pass,d3,78,0.41025641025641024,0.09118541033434646,0.10632447296058666,0.12933025404157011,0.01336515513126509,0.2269417475728155
gemma4_26b_abstract_pass1,gemma4_26b,abstract,1,single_pass,d4,78,0.38461538461538464,0.11237553342816502,0.15387705905986343,0.20775623268698035,0.04808743169398883,0.2759900990099011
gemma4_26b_abstract_pass1,gemma4_26b,abstract,1,single_pass,d5,78,0.5641025641025641,0.22501461133839862,0.20812182741116764,0.17764891934633645,0.044117647058823574,0.3685092127303182
gemma4_26b_abstract_pass1,gemma4_26b,abstract,1,single_pass,overall,78,0.4230769230769231,0.08426819723454207,0.11040145985401474,0.14691943127962084,-0.013210039630118959,0.23629242819843357
gemma4_26b_abstract_pass2,gemma4_26b,abstract,2,single_pass,d1,78,0.2692307692307692,0.0,0.0,0.0,-2.8392588826479415e-16,3.092764140027221e-16
gemma4_26b_abstract_pass2,gemma4_26b,abstract,2,single_pass,d2,78,0.41025641025641024,0.10635118306351184,0.09602649006622509,0.07821229050279302,-0.009587727708533018,0.19648241206030176
gemma4_26b_abstract_pass2,gemma4_26b,abstract,2,single_pass,d3,78,0.41025641025641024,0.09164556962025315,0.11447492904446532,0.1521739130434783,0.017441860465116043,0.2382812500000001
gemma4_26b_abstract_pass2,gemma4_26b,abstract,2,single_pass,d4,78,0.38461538461538464,0.08860759493670887,0.1475409836065574,0.22746781115879836,0.0491873396065012,0.25477707006369427
gemma4_26b_abstract_pass2,gemma4_26b,abstract,2,single_pass,d5,78,0.5256410256410257,0.17683970336565893,0.15920398009950254,0.12701717855283745,-0.012147984538928956,0.30973451327433643
gemma4_26b_abstract_pass2,gemma4_26b,abstract,2,single_pass,overall,78,0.4230769230769231,0.05923344947735188,0.08860759493670857,0.13368983957219208,-0.023909985935302032,0.2077562326869807
gemma4_26b_abstract_pass3,gemma4_26b,abstract,3,single_pass,d1,78,0.2692307692307692,0.0,0.0,0.0,-2.8392588826479415e-16,3.092764140027221e-16
gemma4_26b_abstract_pass3,gemma4_26b,abstract,3,single_pass,d2,78,0.3974358974358974,0.07889447236180905,0.07054337464251682,0.05617977528089868,-0.05502063273727645,0.17976965448172252
gemma4_26b_abstract_pass3,gemma4_26b,abstract,3,single_pass,d3,78,0.38461538461538464,0.0821279725422898,0.0991847826086957,0.12652259332023547,0.006944444444444636,0.21937550040032044
gemma4_26b_abstract_pass3,gemma4_26b,abstract,3,single_pass,d4,78,0.41025641025641024,0.13312394298139646,0.18053173241852488,0.24921246062303087,0.06555153707052438,0.3075970272502063
gemma4_26b_abstract_pass3,gemma4_26b,abstract,3,single_pass,d5,78,0.5384615384615384,0.1860869565217391,0.19159663865546203,0.201574803149606,0.0015060240963857194,0.35260446479679447
gemma4_26b_abstract_pass3,gemma4_26b,abstract,3,single_pass,overall,78,0.4358974358974359,0.08013937282229963,0.08860759493670857,0.10160427807486597,-0.029217719132893217,0.20723847297967293
gemma4_26b_fulltext_pass1,gemma4_26b,fulltext,1,single_pass,d1,78,0.3717948717948718,0.09388335704125178,0.12137931034482759,0.17165149544863484,0.03913043478260873,0.22861085556577734
gemma4_26b_fulltext_pass1,gemma4_26b,fulltext,1,single_pass,d2,78,0.4230769230769231,0.1290322580645161,0.13793103448275873,0.15094339622641506,0.0,0.2730478589420654
gemma4_26b_fulltext_pass1,gemma4_26b,fulltext,1,single_pass,d3,78,0.5128205128205128,0.06291495415744541,0.07981927710843363,0.09882687522218266,-0.05813953488372105,0.2279005524861879
gemma4_26b_fulltext_pass1,gemma4_26b,fulltext,1,single_pass,d4,78,0.48717948717948717,0.18813427010148315,0.23682108626198076,0.28781684382665573,0.10556971241354202,0.37244897959183676
gemma4_26b_fulltext_pass1,gemma4_26b,fulltext,1,single_pass,d5,78,0.5641025641025641,0.19220225403594265,0.2173913043478261,0.25678894711767514,0.03620689655172413,0.3709677419354837
gemma4_26b_fulltext_pass1,gemma4_26b,fulltext,1,single_pass,overall,78,0.4358974358974359,0.15321983715766102,0.16028708133971292,0.16853932584269643,0.04033884630899532,0.29489754921655287
gemma4_26b_fulltext_pass2,gemma4_26b,fulltext,2,single_pass,d1,78,0.38461538461538464,0.10537634408602156,0.1333333333333334,0.18431372549019623,0.04968944099378897,0.24052631578947345
gemma4_26b_fulltext_pass2,gemma4_26b,fulltext,2,single_pass,d2,78,0.44871794871794873,0.14937864570124273,0.16453965360072914,0.18719211822660084,0.041297935103244726,0.28967909800520375
gemma4_26b_fulltext_pass2,gemma4_26b,fulltext,2,single_pass,d3,78,0.5128205128205128,0.09936189608021877,0.13537735849056584,0.1739980449657867,-0.021834061135371417,0.32369942196531787
gemma4_26b_fulltext_pass2,gemma4_26b,fulltext,2,single_pass,d4,78,0.5128205128205128,0.2142099681866383,0.262914741705166,0.31741323049540193,0.12568908489525898,0.40516229956980837
gemma4_26b_fulltext_pass2,gemma4_26b,fulltext,2,single_pass,d5,78,0.5769230769230769,0.202355128602417,0.20677966101694942,0.2136341814690354,0.011615628299894227,0.3794932233352974
gemma4_26b_fulltext_pass2,gemma4_26b,fulltext,2,single_pass,overall,78,0.46153846153846156,0.18222666000998505,0.20375663536137215,0.22957198443579763,0.05884843353090598,0.34636871508379885
gemma4_26b_fulltext_pass3,gemma4_26b,fulltext,3,single_pass,d1,78,0.38461538461538464,0.10537634408602156,0.1333333333333334,0.18431372549019623,0.05081127241673784,0.2425196850393699
gemma4_26b_fulltext_pass3,gemma4_26b,fulltext,3,single_pass,d2,78,0.4230769230769231,0.14702308626974486,0.15356265356265364,0.1619433198380569,0.04516673701983959,0.2771693344566134
gemma4_26b_fulltext_pass3,gemma4_26b,fulltext,3,single_pass,d3,78,0.5256410256410257,0.12386156648451743,0.1883052527254706,0.2652173913043481,0.02831257078142697,0.3606557377049181
gemma4_26b_fulltext_pass3,gemma4_26b,fulltext,3,single_pass,d4,78,0.47435897435897434,0.16085017055890835,0.225929054054054,0.30124506529000916,0.1016042780748665,0.34587488667271066
gemma4_26b_fulltext_pass3,gemma4_26b,fulltext,3,single_pass,d5,78,0.5512820512820513,0.17547568710359418,0.20099667774086383,0.2411010915994308,-0.0015408320493068073,0.37166666666666653
gemma4_26b_fulltext_pass3,gemma4_26b,fulltext,3,single_pass,overall,78,0.4358974358974359,0.1496531219028741,0.19959758551307852,0.2585551330798478,0.07285276073619626,0.339782345828295
qwen3_6_35b_abstract_pass1,qwen3_6_35b,abstract,1,single_pass,d1,78,0.2948717948717949,0.02054794520547948,0.02188782489740093,0.024556616643928875,0.0,0.054927302100161474
qwen3_6_35b_abstract_pass1,qwen3_6_35b,abstract,1,single_pass,d2,78,0.41025641025641024,0.08609271523178805,0.13253012048192755,0.20408163265306112,-0.004861448711716226,0.25000000000000006
qwen3_6_35b_abstract_pass1,qwen3_6_35b,abstract,1,single_pass,d3,78,0.46153846153846156,0.11219512195121954,0.17853560682046118,0.2853403141361257,0.08105560791705957,0.2954101562499999
qwen3_6_35b_abstract_pass1,qwen3_6_35b,abstract,1,single_pass,d4,78,0.47435897435897434,0.15886375591793786,0.18410041841004185,0.22029422859298403,0.07752956636005252,0.295754026354319
qwen3_6_35b_abstract_pass1,qwen3_6_35b,abstract,1,single_pass,d5,78,0.44871794871794873,0.13756749807148366,0.12250000000000001,0.09474182851729043,0.0,0.2364760432766615
qwen3_6_35b_abstract_pass1,qwen3_6_35b,abstract,1,single_pass,overall,78,0.41025641025641024,0.04701195219123503,0.07142857142857148,0.10769230769230735,-0.036090225563909964,0.197943444730077
qwen3_6_35b_abstract_pass2,qwen3_6_35b,abstract,2,single_pass,d1,78,0.2948717948717949,0.02054794520547948,0.02188782489740093,0.024556616643928875,0.0,0.058495821727019476
qwen3_6_35b_abstract_pass2,qwen3_6_35b,abstract,2,single_pass,d2,78,0.3974358974358974,0.07025107785949783,0.09343664539653612,0.1280788177339902,-0.021680216802168133,0.19784524975514192
qwen3_6_35b_abstract_pass2,qwen3_6_35b,abstract,2,single_pass,d3,78,0.3974358974358974,0.10169076206812054,0.1434579439252334,0.21633176571184254,0.06111111111111081,0.2448132780082986
qwen3_6_35b_abstract_pass2,qwen3_6_35b,abstract,2,single_pass,d4,78,0.47435897435897434,0.12070387682155617,0.15558912386706944,0.21025420077552784,0.01663090128755367,0.2831594634873321
qwen3_6_35b_abstract_pass2,qwen3_6_35b,abstract,2,single_pass,d5,78,0.4358974358974359,0.12582781456953648,0.1372549019607845,0.15923566878980894,0.03392568659127625,0.23298033282904676
qwen3_6_35b_abstract_pass2,qwen3_6_35b,abstract,2,single_pass,overall,78,0.41025641025641024,0.029483364890451655,0.06772908366533845,0.12849162011173199,-0.03755868544600923,0.1833616298811543
qwen3_6_35b_abstract_pass3,qwen3_6_35b,abstract,3,single_pass,d1,78,0.28205128205128205,0.010197144799456128,0.010869565217391361,0.012211668928086747,0.0,0.037685060565275805
qwen3_6_35b_abstract_pass3,qwen3_6_35b,abstract,3,single_pass,d2,78,0.41025641025641024,0.07787201233616034,0.10784313725490204,0.1538461538461538,-0.007844946931241128,0.22037125178486416
qwen3_6_35b_abstract_pass3,qwen3_6_35b,abstract,3,single_pass,d3,78,0.44871794871794873,0.10726643598615915,0.14263803680981582,0.20558976788252042,0.07095793208312205,0.24182076813655784
qwen3_6_35b_abstract_pass3,qwen3_6_35b,abstract,3,single_pass,d4,78,0.48717948717948717,0.1958762886597938,0.247529411764706,0.3278557114228461,0.10943558810857378,0.39826422372227566
qwen3_6_35b_abstract_pass3,qwen3_6_35b,abstract,3,single_pass,d5,78,0.44871794871794873,0.12701717855283703,0.14132104454685102,0.16856717897868123,0.016806722689075716,0.2540983606557377
qwen3_6_35b_abstract_pass3,qwen3_6_35b,abstract,3,single_pass,overall,78,0.3974358974358974,0.00027270248159255316,0.07048681541582145,0.1849710982658959,-0.047897196261682234,0.19566367001586465
qwen3_6_35b_fulltext_pass1,qwen3_6_35b,fulltext,1,single_pass,d1,78,0.3974358974358974,0.09548482605477422,0.10857142857142849,0.1321762349799735,-0.020523345305284636,0.24471830985915505
qwen3_6_35b_fulltext_pass1,qwen3_6_35b,fulltext,1,single_pass,d2,78,0.48717948717948717,0.17219421597240642,0.1851311953352768,0.20540540540540528,0.038862559241706146,0.32758620689655177
qwen3_6_35b_fulltext_pass1,qwen3_6_35b,fulltext,1,single_pass,d3,78,0.6025641025641025,0.12896253602305474,0.17894736842105277,0.23789294817332174,-0.0031176929072488277,0.3664717348927876
qwen3_6_35b_fulltext_pass1,qwen3_6_35b,fulltext,1,single_pass,d4,78,0.6410256410256411,0.3002242870874721,0.3359133126934983,0.37727441515039,0.17156862745098037,0.5017421602787454
qwen3_6_35b_fulltext_pass1,qwen3_6_35b,fulltext,1,single_pass,d5,78,0.48717948717948717,0.1677780741531075,0.19587628865979398,0.24674070497344297,0.05835010060362158,0.33862144420131307
qwen3_6_35b_fulltext_pass1,qwen3_6_35b,fulltext,1,single_pass,overall,78,0.5,0.2078125,0.21265141318977135,0.21917808219178095,0.06045454545454541,0.36355394378966466
qwen3_6_35b_fulltext_pass2,qwen3_6_35b,fulltext,2,single_pass,d1,78,0.44871794871794873,0.14395099540581927,0.15431164901664124,0.17429837518463806,0.05614714424007731,0.27540983606557373
qwen3_6_35b_fulltext_pass2,qwen3_6_35b,fulltext,2,single_pass,d2,78,0.46153846153846156,0.13857480936103078,0.13943661971830978,0.1407035175879397,0.00907441016333933,0.26341948310139157
qwen3_6_35b_fulltext_pass2,qwen3_6_35b,fulltext,2,single_pass,d3,78,0.6538461538461539,0.1840371948857033,0.25370370370370393,0.33260201842913545,0.06744328632740669,0.46400523560209433
qwen3_6_35b_fulltext_pass2,qwen3_6_35b,fulltext,2,single_pass,d4,78,0.6153846153846154,0.2775548008644644,0.32564841498559083,0.37745261057532414,0.15634218289085558,0.4994165694282377
qwen3_6_35b_fulltext_pass2,qwen3_6_35b,fulltext,2,single_pass,d5,78,0.46153846153846156,0.12616697786076292,0.15567010309278348,0.20907774022211525,-0.003355704697986595,0.2996408414571576
qwen3_6_35b_fulltext_pass2,qwen3_6_35b,fulltext,2,single_pass,overall,78,0.48717948717948717,0.1946308724832215,0.22857142857142865,0.27312775330396466,0.08198051948051945,0.3679694947569114
qwen3_6_35b_fulltext_pass3,qwen3_6_35b,fulltext,3,single_pass,d1,78,0.44871794871794873,0.15495086923658352,0.17551622418879034,0.2137834036568218,0.05974842767295594,0.3003679852805888
qwen3_6_35b_fulltext_pass3,qwen3_6_35b,fulltext,3,single_pass,d2,78,0.4358974358974359,0.1094966268811624,0.12868632707774805,0.1545454545454545,-0.03235294117647042,0.27502383222116306
qwen3_6_35b_fulltext_pass3,qwen3_6_35b,fulltext,3,single_pass,d3,78,0.6025641025641025,0.14829165199013736,0.20188053097345127,0.26073500967118,0.006369426751592454,0.4116379310344826
qwen3_6_35b_fulltext_pass3,qwen3_6_35b,fulltext,3,single_pass,d4,78,0.6153846153846154,0.2557251908396947,0.30694668820678495,0.3733003708281829,0.14222873900293248,0.47017129356172455
qwen3_6_35b_fulltext_pass3,qwen3_6_35b,fulltext,3,single_pass,d5,78,0.41025641025641024,0.045744680851063764,0.0620490620490622,0.08679854662898662,-0.06926406926406929,0.208636836628512
qwen3_6_35b_fulltext_pass3,qwen3_6_35b,fulltext,3,single_pass,overall,78,0.44871794871794873,0.14829862874555616,0.17267713194739082,0.20331950207468852,0.0341047503045066,0.32089552238805963
sonnet_4_6_abstract_pass1,sonnet_4_6,abstract,1,single_pass,d1,78,0.2948717948717949,0.02054794520547948,0.02188782489740093,0.024556616643928875,0.0,0.05758354755784034
sonnet_4_6_abstract_pass1,sonnet_4_6,abstract,1,single_pass,d2,78,0.4358974358974359,0.10251046025104606,0.11637487126673533,0.14285714285714296,-0.024242424242424367,0.24678111587982832
sonnet_4_6_abstract_pass1,sonnet_4_6,abstract,1,single_pass,d3,78,0.47435897435897434,0.1173060999171956,0.17470472440944868,0.2587949858471492,0.07889447236180905,0.30026385224274416
sonnet_4_6_abstract_pass1,sonnet_4_6,abstract,1,single_pass,d4,78,0.4230769230769231,0.13032705649157578,0.15340086830680186,0.19606046724690784,0.054347826086956603,0.24765380604796644
sonnet_4_6_abstract_pass1,sonnet_4_6,abstract,1,single_pass,d5,78,0.34615384615384615,0.05218012866333097,0.04878048780487818,0.04229195088676647,0.0031948881789137036,0.10284167794316665
sonnet_4_6_abstract_pass1,sonnet_4_6,abstract,1,single_pass,overall,78,0.46153846153846156,0.08873435326842842,0.12406417112299435,0.18709677419354842,0.013793103448275931,0.24659090909090908
sonnet_4_6_abstract_pass2,sonnet_4_6,abstract,2,single_pass,d1,78,0.3076923076923077,0.031055900621118016,0.03305785123966959,0.037037037037036764,0.0,0.07407407407407414
sonnet_4_6_abstract_pass2,sonnet_4_6,abstract,2,single_pass,d2,78,0.44871794871794873,0.11480601741884407,0.129283489096573,0.15686274509803935,-0.012499999999999956,0.2618296529968457
sonnet_4_6_abstract_pass2,sonnet_4_6,abstract,2,single_pass,d3,78,0.46153846153846156,0.1275632490013316,0.1714426877470355,0.2425550280535171,0.07763496143958869,0.291952894995093
sonnet_4_6_abstract_pass2,sonnet_4_6,abstract,2,single_pass,d4,78,0.44871794871794873,0.16421629703463747,0.18523676880222856,0.21968150265414463,0.07312614259597792,0.3107511045655377
sonnet_4_6_abstract_pass2,sonnet_4_6,abstract,2,single_pass,d5,78,0.358974358974359,0.06024096385542173,0.06474820143884909,0.07363420427553426,0.013365155131264772,0.12230919765166348
sonnet_4_6_abstract_pass2,sonnet_4_6,abstract,2,single_pass,overall,78,0.46153846153846156,0.08873435326842842,0.08235294117647042,0.07096774193548364,-0.00970873786407772,0.19138755980861236
sonnet_4_6_abstract_pass3,sonnet_4_6,abstract,3,single_pass,d1,78,0.28205128205128205,0.010197144799456128,0.010869565217391361,0.012211668928086747,0.0,0.037685060565276096
sonnet_4_6_abstract_pass3,sonnet_4_6,abstract,3,single_pass,d2,78,0.4358974358974359,0.10251046025104606,0.11637487126673533,0.14285714285714296,-0.016871165644171692,0.24040066777963282
sonnet_4_6_abstract_pass3,sonnet_4_6,abstract,3,single_pass,d3,78,0.48717948717948717,0.13931034482758617,0.18584521384928718,0.26025584472871643,0.08723404255319146,0.31353135313531333
sonnet_4_6_abstract_pass3,sonnet_4_6,abstract,3,single_pass,d4,78,0.4358974358974359,0.1447794667331174,0.18523676880222856,0.2515312372396896,0.040000000000000195,0.324521422060164
sonnet_4_6_abstract_pass3,sonnet_4_6,abstract,3,single_pass,d5,78,0.358974358974359,0.0645238666346846,0.061792452830188735,0.05659516202647202,0.009108341323106416,0.12218649517684879
sonnet_4_6_abstract_pass3,sonnet_4_6,abstract,3,single_pass,overall,78,0.48717948717948717,0.13621262458471758,0.1553090332805072,0.18867924528301944,0.04651162790697659,0.2877591312931883
sonnet_4_6_fulltext_pass1,sonnet_4_6,fulltext,1,single_pass,d1,78,0.41025641025641024,0.13270485859318348,0.15373961218836563,0.19059720457433302,0.059664895790764144,0.2730661696178937
sonnet_4_6_fulltext_pass1,sonnet_4_6,fulltext,1,single_pass,d2,78,0.44871794871794873,0.11852825229960581,0.13032705649157586,0.15028901734104053,-0.006849315068493126,0.2555066079295154
sonnet_4_6_fulltext_pass1,sonnet_4_6,fulltext,1,single_pass,d3,78,0.6282051282051282,0.22187822497420026,0.30357142857142866,0.4067796610169489,0.15270018621973924,0.4713242961418145
sonnet_4_6_fulltext_pass1,sonnet_4_6,fulltext,1,single_pass,d4,78,0.5512820512820513,0.2084662220933605,0.24132492113564666,0.291537439078423,0.09079754601226972,0.39786223277909755
sonnet_4_6_fulltext_pass1,sonnet_4_6,fulltext,1,single_pass,d5,78,0.3717948717948718,0.06000983767830795,0.06734992679355785,0.08169149447381095,-0.015225933202357923,0.1563421828908553
sonnet_4_6_fulltext_pass1,sonnet_4_6,fulltext,1,single_pass,overall,78,0.46153846153846156,0.11074918566775246,0.13984962406015025,0.18644067796610161,0.001067235859124752,0.2536715620827771
sonnet_4_6_fulltext_pass2,sonnet_4_6,fulltext,2,single_pass,d1,78,0.4230769230769231,0.14785142024763293,0.15774647887323962,0.17569352708058086,0.060906515580736696,0.27467811158798267
sonnet_4_6_fulltext_pass2,sonnet_4_6,fulltext,2,single_pass,d2,78,0.4358974358974359,0.10625000000000001,0.11799410029498551,0.13793103448275873,-0.016684045881126142,0.23778501628664508
sonnet_4_6_fulltext_pass2,sonnet_4_6,fulltext,2,single_pass,d3,78,0.6025641025641025,0.1858585858585859,0.276990185387132,0.38388625592417086,0.1393728222996515,0.44876325088339214
sonnet_4_6_fulltext_pass2,sonnet_4_6,fulltext,2,single_pass,d4,78,0.5384615384615384,0.2489970580369082,0.31910766246362765,0.42623620760114417,0.1606886657101864,0.47271849348140993
sonnet_4_6_fulltext_pass2,sonnet_4_6,fulltext,2,single_pass,d5,78,0.38461538461538464,0.07280832095096587,0.08100147275405,0.09696092619392185,-0.005333333333333361,0.16675351745700892
sonnet_4_6_fulltext_pass2,sonnet_4_6,fulltext,2,single_pass,overall,78,0.47435897435897434,0.14469109387536766,0.21022179363548685,0.308900523560209,0.06723826714801423,0.34939759036144585
sonnet_4_6_fulltext_pass3,sonnet_4_6,fulltext,3,single_pass,d1,78,0.4230769230769231,0.14785142024763293,0.15774647887323962,0.17569352708058086,0.060906515580736696,0.27467811158798267
sonnet_4_6_fulltext_pass3,sonnet_4_6,fulltext,3,single_pass,d2,78,0.44871794871794873,0.12244897959183675,0.12658227848101286,0.13333333333333344,-0.006849315068493126,0.24876169510181623
sonnet_4_6_fulltext_pass3,sonnet_4_6,fulltext,3,single_pass,d3,78,0.5897435897435898,0.17759472817133448,0.26770386266094437,0.3746578021118498,0.1321022727272726,0.4411463664278403
sonnet_4_6_fulltext_pass3,sonnet_4_6,fulltext,3,single_pass,d4,78,0.5128205128205128,0.18683127572016453,0.2277227722772277,0.28944099378881954,0.08256457564575662,0.35844155844155845
sonnet_4_6_fulltext_pass3,sonnet_4_6,fulltext,3,single_pass,d5,78,0.3717948717948718,0.06000983767830795,0.06734992679355785,0.08169149447381095,-0.01589403973509912,0.1517450682852808
